PA,Species,Role,N*,Rmax,Rinv,NNGR,N,F,Logical,Code,Point,Guild
Serengeti,Impala,Resident,0.6385219,0.00068411,0.000162958,-0.001055249,0.7003771,0.6066886,Yes,13,22,Mixed
Serengeti,Wildebeest,Resident,0.2697956,0.000713699,6.56E-05,-0.000764619,0.5616058,0.5172223,Yes,11,22,Grazer
Serengeti,Topi,Resident,0.9483102,0.000609315,0.000130342,-0.000560028,0.5903916,0.4789255,Yes,9,22,Grazer
Serengeti,Grant's gazelle,Resident,2.5617011,0.001030411,0.000771658,-0.000245314,0.7971719,0.1922936,Yes,12,22,MIxed
Serengeti,Hartebeest,Invader,0,0.000654795,-4.94E-05,-0.000882623,0.5419675,0.5740944,Yes,3,21,Grazer
Serengeti,Plain's zebra,Invader,0,0.000291233,-2.33E-04,-0.000972548,0.5849706,0.7695543,Yes,6,21,Grazer
Serengeti,Thomson's gazelle,Invader,0,0.001296164,-3.32E-05,-0.002507393,0.65049,0.6592231,Yes,14,21,Mixed
Serengeti,Buffalo,Invader,0,0.000367397,-2.12E-06,-0.000352961,0.480375,0.4899799,Yes,1,21,Grazer
Laikipia,Hartebeest,Resident,0.05309518,0.000654795,4.57E-05,-0.002005884,0.7710719,0.7538994,Yes,3,22,Grazer
Laikipia,Grevy's zebra,Resident,0.11457826,0.000351573,4.48E-05,-0.000860687,0.746975,0.7099858,Yes,2,22,Grazer
Laikipia,Waterbuck,Resident,0.96339117,0.000632329,0.000338525,-5.77E-04,0.7570827,0.4771906,Yes,10,22,Grazer
Laikipia,Grant's gazelle,Resident,2.02617843,0.001031036,0.000418561,-0.000913969,0.6851039,0.4699059,Yes,12,22,Mixed
Laikipia,Buffalo,Resident,0.123479,0.000367397,3.76E-05,-6.50E-04,0.6759006,0.638975,Yes,1,22,Grazer
Laikipia,Eland,Resident,0.28081762,0.000686712,0.000303853,-0.000631258,0.7095086,0.4789622,Grevys_zebra,17,23,Browser
Laikipia,Impala,Invader,0,0.00068411,-2.34E-04,-0.001056671,0.4723569,0.6070099,Yes,13,21,Mixed
Laikipia,Plain's zebra,Invader,0,0.000290137,-3.02E-05,-0.001027886,0.7569837,0.7798696,Yes,6,21,Grazer
Laikipia,Dik-dik,Invader,0,0.001396164,-3.16E-04,-0.002119996,0.5130122,0.6029293,Yes,16,21,Browser
Laikipia,Oryx,Invader,0,0.000641096,-8.20E-05,-0.000788588,0.4942176,0.5515822,Yes,5,21,Grazer
Laikipia,Klipspringer,Invader,0,0.000751923,-1.07E-04,-0.001932751,0.6800129,0.7199201,Yes,18,21,Browser
Laikipia,Kudu,Invader,0,0.000653425,-1.76E-04,-0.001504879,0.6155641,0.6972508,Yes,19,21,Browser
Gorongosa,Hartebeest,Resident,0.5626132,0.000654795,1.19E-04,-0.001176642,0.7073369,0.6424694,Yes,3,22,Grazer
Gorongosa,Sable,Resident,0.1799046,0.000622192,1.03E-04,-0.001682922,0.7749605,0.730082,Oribi,8,23,Grazer
Gorongosa,Waterbuck,Resident,0.5034677,0.000632329,3.72E-05,-1.03E-03,6.43E-01,6.21E-01,Yes,10,22,Grazer
Gorongosa,Oribi,Resident,0.5890841,0.001185753,2.20E-05,-0.002682843,0.6991786,0.6934926,Yes,4,22,Grazer
Gorongosa,Buffalo,Resident,0.1049204,0.000367397,1.67E-04,-0.001539264,0.8948042,0.8073086,Yes,1,22,Grazer
Gorongosa,Nyala,Resident,3.1288951,0.000826027,3.09E-04,-0.000957349,0.71011,0.5368184,Oribi,20,23,Browser
Gorongosa,Bushbuck,Resident,1.9968004,0.000989315,2.36E-04,-0.00150058,0.6976446,0.6026679,Yes,15,22,Browser
Gorongosa,Kudu,Resident,0.1526029,0.000653425,1.56E-04,-0.00211231,0.8202792,0.7637428,Yes,19,22,Browser
Gorongosa,Impala,Invader,0,0.00068411,-0.000174191,-0.001950032,0.6741632,0.7402913,Yes,13,21,Mixed
Gorongosa,Wildebeest,Invader,0,0.000713699,-0.000153436,-0.003546674,0.796465,0.8324798,Yes,11,21,Grazer
Gorongosa,Reedbuck,Invader,0,0.000746027,-0.000151475,-0.002242778,0.699712,0.7503928,Yes,7,21,Grazer
